item_code,item_description,item_type,supplier
345487,TEPERBERG IMPRESSION CHARD - 750ML,WINE,ROYAL WINE CORP
345489,TEPERBERG IMPRESSION MER - 750ML,WINE,ROYAL WINE CORP
345492,TEPERBERG IMPRESSION CAB - 750ML,WINE,ROYAL WINE CORP
345494,ANCIENT PEAKS CHARD - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345496,DOM PAUL AUTARD CDP CUV LA COTE RONDE - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345500,TABOR ADAMA GIFT SET - 750ML,WINE,ROYAL WINE CORP
345502,OR HAGANUZ AMUKA GEW - 750ML,WINE,ROYAL WINE CORP
345507,TIMMERMAN RIDGE P/GRIS 15 - 1/6K,WINE,TAP26MD LLC
345509,THE SIBLING S/BLC 15 - 1/6K,WINE,TAP26MD LLC
345511,STELLA ROSA RED - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345515,MU CREAMY CHOCOLATE CHAI - 50ML,WINE,OPICI FAMILY DISTRIBUTING OF MD
345517,DOM BOUSQUET MER - 750ML,WINE,OPICI FAMILY DISTRIBUTING OF MD
345519,SUTTER HOME P/GRIG - 500ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345521,SUTTER HOME CHARD - 500ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345523,SUTTER HOME CAB - 500ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345525,EVANS & TATE BREATHING SPACE CAB - 750ML,WINE,LANTERNA DISTRIBUTORS INC
345527,EVANS & TATE BUTTERBALL CHARD - 750ML,WINE,LANTERNA DISTRIBUTORS INC
345529,EVANS & TATE SMOOTH OPERATOR RED - 750ML,WINE,LANTERNA DISTRIBUTORS INC
345531,EVANS & TATE BREATHING SPACE S/BLC - 750ML,WINE,LANTERNA DISTRIBUTORS INC
345533,EVANS & TATE FRESH AS A DAISY S/BLC - 750ML,WINE,LANTERNA DISTRIBUTORS INC
